id,question_text,option_a,option_b,option_c,option_d,has_image,image_urls,source_url
160,"Ağızdan ağıza suni solunum yapılacak olan hastaya verilecek pozisyon aşağıdakilerden hangisidir?","Yan yatış","Yarı oturuş","Sırtüstü yatış","Yüzüstü yatış",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
161,"Sürücüler, beden dilini ve konuşma üslubunu da dikkate alarak trafik adabı açısından başarılı iletişim kurma becerilerini geliştirmek için aşağıdakilerden hangisini yapmalıdır?","İnsanların değişebildiğine inanmalıdır.","Dinlerken aynı zamanda değerlendirme eğiliminde olmalıdır.","Karşısındakinin kişiliğini sevmediğinde zihnini ona kapatmalıdır.","Tek bir olayın, birini anlamak için yeterli bir örnek olduğunu düşünmelidir.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
162,"Aşağıdakilerden hangisinin aşınması araçta direksiyon boşluğunun fazlalaşmasına neden olur?","Vites kutusunun","Pistonların","Krank milinin","Rot başlarının",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
163,"Bilinci kapalı ve solunumu olan bir kazazedeye, herhangi bir yaralanması yoksa aşağıdaki pozisyonlardan hangisi verilmelidir?","Koma pozisyonu","Alt-çene pozisyonu","Baş-çene pozisyonu","Şok pozisyonu",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
164,"Kara yollarında meydana gelen trafik kazaları ile ilgili olarak, kazaya karışan veya olay yerinden geçmekte olan sürücünün yasal sorumluluğu nedir?","Sadece olaya karışan sürücülerin müdahale etme mecburiyeti vardır.","Sadece sağlık personeli olanların müdahale etme mecburiyeti vardır.","Kendi isteğine bağlı olarak müdahale etmeyebilir.","Her durumda müdahale etmekle yükümlüdür.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
165,"İniş eğimli yolda seyreden araç sürücüsünün aşağıdakilerden hangisini yapması yasaktır?","Düşük hızla seyretmesi","Çıkışta kullandığı vitesi kullanması","Hız azaltmak için frene basması","Vitesi boşa alarak seyretmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
166,"Şekle göre 1 numaralı araç sürücüsünün aşağıdakilerden hangisini yapması yanlıştır?","Hızını azaltması","Öndeki aracı geçmesi","Takip mesafesini artırması","Duraklama yapmaktan kaçınması",TRUE,"/images/23araliksorulari/21.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
167,"Trafik işaretleri ile ilgili olarak aşağıdaki davranışlardan hangilerinin yapılması yasaktır?","Sorumlu ku","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
168,"Şekildeki karşılaşmada hangi araç öncellikle geçiş hakkını kullanmalıdır?","Tarım traktörü","Otobüs","İş makinesi","At arabası",TRUE,"/images/10sinav14/soru52.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
169,"Şekildeki trafik işaretinin anlamı nedir?","Yaya giremez.","Bisiklet giremez.","At arabası giremez.","Motorlu taşıt giremez.",TRUE,"/images/14may2016/s17.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
170,"I. LPG
II. Benzin
III. Motorin

İçten yanmalı motorlarda yukarıdaki yakıtlardan hangileri kullanılır?","Yalnız I.","I ve II.","II ve III.","I, II ve III.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
171,"Motorlu araçlarda motorun yağ seviyesini kontrol etmeye yarayan ve özel göstergesi bulunan parçaya ne ad verilir.","Yağdanlık","Yağ filtresi","Yağ çubuğu","Yağ pompası",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
172,"Aşağıdaki yakıtlardan hangisini kullanan araçların kapalı otoparka kabul edilmesi yasaktır?","Benzin","Motorin","LPG","Biodizel",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
173,"Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?","Sağdan ana yola girişi","Soldan ana yola girişi","Sağa tehlikeli virajı","Açılan köprüyü",TRUE,"/images/14may2016/s20.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
174,"Kalp durmasına kısa süre içerisinde müdahale edilmezse dokuların oksijenlenmesi bozulur. Bu durum, öncelikle aşağıdaki organlardan hangisinde hasar oluşturur?","Mide","Beyin","Karaciğer","Kalın bağırsak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
175,"Aşağıdaki davranışlardan hangisi trafiğin akışını olumsuz etkiler?","Girilecek şeritteki aracın geçmesini beklemek","Gidişe ayrılan yolda sürekli en soldaki şeridi işgal etmek","Çok şeritli yollarda hızın gerektirdiği şeritten seyretmek","Gidiş yönüne göre en sağdaki şeritten seyretmek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
176,"Kazazedeye sözlü uyaranla ya da hafifçe omzuna dokunarak “iyi misiniz?” diye sorularak - - - - değerlendirmesi yapılır. Yukarıdaki açıklamada boş bırakılan yere hangisi yazılmalıdır?","dolaşım","bilinç durumu","solunum","hava yolu açıklığı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
177,"Araç, flaşörleri yanık olarak uzun bir süre park hâlinde bırakılırsa aşağıdakilerden hangisinin olması beklenir?","Akünün boşalması","Benzinin bitmesi","Fren balatalarının aşınması","Lastik hava basıncının düşmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
178,"Şekildeki gibi, tek yönlü kara yolunda bulunan 1 numaralı araç sürücüsünün aşağıdakilerden hangisini yapması yanlıştır?","En sağ şeride geçerek seyretmesi","Geçmek için en sol şeridi kullanması","Önündeki araçla takip mesafesine dikkat etmesi","Önündeki aracı ikaz ederek hızlanmasını istemesi",TRUE,"/images/10sinav1/Soru12.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
179,"Aşağıdakilerden hangisi yağlama sisteminin parçasıdır?","Distribütör","Karbüratör","Karter","Alternatör",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
180,"n kamunun yararlanmasına açık olan arazi şeridi, köprüler ve alanlara ne ad verilir?","Geçiş yolu","Kara yolu","Bağlantı yolu","Şerit",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
181,"Aracın gösterge panelinde bulunan şekildeki mavi renkli ikaz ışığı, aşağıdakilerden hangisi devrede iken yanar?","Arka sis lambası","Kısa hüzmeli farlar","Uzun hüzmeli farlar","Sol sinyal lambaları",TRUE,"/images/sorular/6eylul2014ehliyetsorulari/soru44.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
182,"Aşağıdakilerden hangisi, 112'nin aranması sırasında dikkat edilmesi gereken hususlardan biri değildir?","Kesin yer ve adres bilgilerini vermekten kaçınılması","Kimin, hangi numaradan aradığının bildirilmesi","112 merkezi tarafından sorulan sorulara net bir şekilde cevap verilmesi","Herhangi bir ilk yardım uygulaması yapıldıysa nasıl bir yardım verildiğinin belirtilmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
183,"• Aracın hızı azaltılır.
 • En sağ şeride, varsa banket üzerine geçilir.
 • Araç motoru durdurulur ve dörtlü ikaz ışıkları yakılır.

Yukarıdaki uygulamalar, araç gösterge panelinde hangi uyarı ışığının yanması hâlinde yapılır?","","","","",TRUE,"/images/20-mayis-2017/43a.gif;/images/20-mayis-2017/43b.gif;/images/20-mayis-2017/43c.gif;/images/20-mayis-2017/43d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
184,"Haritaların sağ kenar çizgisi hangi ana yönü gösterir?","Batı","Doğu","Kuzey","Güney",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
185,"Aşağıdakilerden hangisi bujilere giden elektriğin voltajını yükseltir?","Sigorta","Karbüratör","Endüksiyon bobini","Marş motoru",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
186,"Ticari araç şoförünün aşağıdakilerden hangisini bilmesi çevreye olumlu katkı sağlar?","Araç modellerini ve fiyatlarını","Şehirdeki yolları ve önemli yerleri","Ucuz ve kalitesiz yakıtın satış yerini","Trafik suçuna verilen para cezalarını",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
187,"Aşağıdakilerden hangisi debriyajın kaçırma sebebidir?","Aracın hızının fazla olması","Avans ayarının bozuk olması","Debriyaj balatasının aşınmış olması","Direksiyon kutusunun arızalı olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
188,"Aksine bir işaret bulunmadıkça yerleşim yeri dışındaki bölünmüş yollarda otomobiller için azami hız saatte kaç kilometredir?","130","110","100","90",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
189,"Aksine bir işaret yoksa şekildeki araç için yerleşim yeri dışındaki bölünmüş yollarda azami hız sınırı saatte kaç kilometredir?","90","100","110","120",TRUE,"/images/10sinav11/soru51.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
190,"Aracın hareketi için gerekli gücü sağlayan aşağıdakilerden hangisidir?","Fren","Egzoz","Motor","Diferansiyel",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
191,"I. Hoşgörülü olunması

II. Bencillikten uzak durulması

III. Olaylara aşırı tepki gösterilmesi

Trafik ortamını paylaşanlarda, yukarıda verilen tutum ve davranışlardan hangilerinin bulunması hâlinde trafik düzeni ve güvenliği olumlu yönde etkilenir?","Yalnız I.","I ve II.","II ve III.","I, II ve III.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
192,"Şekildeki “park etme bilgi işaretine” göre hangi numaralı araçlar yanlış park etmiştir?","Yalnız 3","1 ve 2","","",TRUE,"/images/23araliksorulari/20.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
193,"Aşağıdaki kazazedelerden hangisi kaza yerinden ilk önce taşınmalıdır?","Birinci derece yanığı olan","Solunum zorluğu çeken","Ayağında çıkık olan","Ölmüş olan",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
194,"İç kanamalar, kazazedeyi şok ve ölüme götürecek kadar kan kaybına neden olabilir. Buna göre aşağıdakilerden hangisi iç kanama yaşayan bir kazazedede kan kaybına bağlı olarak gelişen genel belirtilerden biri değildir?","Aşırı susuzluk hissi","Nemli ve soğuk deri","Yavaş ve güçlü nabız","Hızlı ve yüzeysel solunum",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
195,"Aşağıdakilerin hangisinde sürücülerin geri gitmesi yasaktır?","Bağlantı yolunda seyrederken","Tek yönlü yollarda duraklarken","Tek yönlü yollarda park ederken","İki yönlü dar yollarda geçiş kolaylığı sağlarken",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
196,"Şekilde verilen pozisyonun adı nedir?","Alt-çene pozisyonu","Koma pozisyonu","Şok pozisyonu","Baş-çene pozisyonu",TRUE,"/images/Resized/indir.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
197,"Aşağıdakilerden hangisi, yolcu taşımacılığında kullanılan ve sürücüsü dahil dokuzdan fazla oturma yeri olan motorlu taşıttır?","Çekici","Otobüs","Otomobil","Kamyonet",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
198,"İlk yardım çantasında gazlı bez bulundurmanın amacı nedir?","Etrafı temizlemek","Kalp masajında kullanmak","Yaraları kapatmak ve sarmak","Kırıklarda ağrıyı azaltmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
199,"Aşağıdakilerden hangisi bebeklere yapılan yapay solunum uygulamasında, ilk yardımcının dikkat etmesi gereken kurallardandır?","Bebeğin yumuşak bir zemin üzerine sırtüstü yatırılması","Hava yolu tıkanıklığına neden olan yabancı cisim varsa bebeğin yutmasının sağlanması","Bebeğin solunum yapıp yapmadığının bak-dinle-hisset yöntemiyle 2 dakika süre ile kontrol edilmesi","Bebekte solunum yoksa ağız dolusu nefes alınması ve ağzın, bebeğin ağız ve burnunu içine alacak şekilde yerleştirilmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
200,"Tehlikeli madde taşıyan araçlarda yangın söndürme cihazları aracın neresinde bulundurulmalıdır?","Sadece sürücünün bildiği bir yerde","Özel olarak yapılmış kilitli bir yerde","Sürücünün kolayca kullanabileceği bir yerde","Motor kaputunun altında veya yangın çıkma ihtimali olan bir yerde",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
201,"Şekildeki trafik işareti aşağıdakilerden hangisini bildirir?","Öndeki taşıtı geçmenin yasak olduğunu","Hız sınırlaması sonunu","Geçme yasağı sonunu","Park yasağını",TRUE,"/images/sorular/13aralik2014ehliyetsorulari/soru23.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
202,"Motorun soğutma sisteminde bulunan su pompasının görevi aşağıdakilerden hangisidir?","Radyatördeki suyu kartere göndermek","Radyatördeki suyu su kanallarına göndermek","Radyatördeki suyu yağ kanallarına göndermek","Radyatördeki suyu yanma odasına göndermek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
203,"Aşağıdakilerden hangisi kanamayı azaltmak için uygulanan bir yöntemdir?","Kanama bölgesinde bulunan pıhtıların yıkanarak temizlenmesi","Kanayan yere en yakın basınç noktasına baskı uygulanması","Kanayan yere sıcak uygulama yapılması","Kanayan yerin oksijenli su ile yıkanması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
204,"Aşağıdakilerden hangisi silindir kapağının görevlerindendir?","Krank miline yataklık etmek","Motordaki yağı soğutmak","Supaplara yataklık etmek","Akslara yataklık etmek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-16.html"
205,"Şekildeki yol çizgisinin anlamı nedir?","Şerit değiştirmek yasaktır.","Öndeki aracı geçmek yasaktır.","Taşıt yolu, bölünmüş yol durumuna gelmiştir.","Kurallara uygun olarak öndeki araç geçilebilir.",TRUE,"/images/10sinav14/soru66.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
206,"Aşağıdakilerden hangisi LPG’li motorların üstünlüklerindendir?","Çevreyi kirletme oranı daha düşüktür.","Ek yapım maliyeti getirir.","Bagaj hacmini küçültür.","Motor performansını bir miktar düşürür.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
207,"Kanı süzerek gerekli maddelerin vücutta tutulması, zararlı olanların atılması gibi görevleri olan ve vücutta iç dengeyi koruyan sistem, aşağıdakilerden hangisidir?","Sinir sistemi","Hareket sistemi","Boşaltım sistemi","Dolaşım sistemi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
208,"Aşağıdakilerden hangisi azami hız sınırlaması anlamındadır?","","","","",TRUE,"/images/10sinav12/soru15a.gif;/images/10sinav12/soru15b.gif;/images/10sinav12/soru15c.gif;/images/10sinav12/soru15d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
209,"Motorun soğutma sisteminde kullanılan - - - - donmayı önlemenin yanı sıra soğutma sıvısının geçtiği yerlerde korozyonu, paslanmayı ve kireç oluşumunu da engelleyerek parçaların ömrünü artırmaktadır. Verilen ifadede boş bırakılan yere aşağıdakilerden hangisi yazılmalıdır?","asit","antifriz","saf su","elektrolit",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
210,"Aşağıdaki trafik işaretlerinden hangisi öndeki taşıtı geçme yasağının sona erdiğini bildirir?","","","","",TRUE,"/images/21nisanehliyetsorulari/19a.png;/images/21nisanehliyetsorulari/19b.png;/images/21nisanehliyetsorulari/19c.png;/images/21nisanehliyetsorulari/19d.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
211,"Seyir hâlindeyken aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması derhal durmayı gerektirmez?","","","","",TRUE,"/images/7-ekim-2017/43a.gif;/images/7-ekim-2017/43b.gif;/images/7-ekim-2017/43c.gif;/images/7-ekim-2017/43d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
212,"Araç lastiği değiştirilirken, aracın kriko ile kaldırılması durumunda aşağıdakilerden hangisi yapılır?","Vites boş konuma alınır.","El freni çekiliyse bırakılır.","Aracın hareket etmemesi için gerekli güvenlik önlemleri alınır.","Araç motorunun sarsıntısız çalışması sağlanır.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
213,"Son ihlalin gerçekleştiği tarihten itibaren geriye doğru 5 yıl içinde yasal sınırların üzerinde alkollü olarak araç kullandığı üçüncü defa tespit edilen sürücünün, sürücü belgesi ne kadar süre ile geri alınır?","5 yıl","2 yıl","1 yıl","6 ay",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
214,"Şekildeki trafik işareti neyi bildirir?","Zeminde gevşek malzeme bulunduğunu","Açılan köprüye yaklaşıldığını","Tehlikeli çıkış eğimli yolu","Kasisli yolu",TRUE,"/images/10sinav4/soru40.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
215,"Trafik, aşağıdakilerden hangisinde doğru tanımlanmıştır?","Araçların kara yolunda hâl ve hareketleridir.","Araçların, yayaların ve hayvanların kara yolu üzerindeki hâl ve hareketleridir.","Yayaların ve hayvanların kara yolu üzerindeki hareketleridir.","Araçların ve yayaların kara yolu üzerindeki hâl ve hareketleridir.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
216,"Şekilde soru işareti (?) ile gösterilen ve aktarma organlarına güç veren hangisidir?","Rot","","","",TRUE,"/images/10sinav19/soru81.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
217,"Dört zamanlı benzinli motorlarda, zamanların oluşum sırası aşağıdaki gibidir. Buna göre, hangi zamanda yakıt-hava karışımı pistonla sıkıştırılır?","Emme zamanı","Sıkıştırma zamanı","Ateşleme zamanı","Egzoz zamanı",TRUE,"/images/sorular/8mart2014ehliyetsorulari/soru42.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
218,"Aşağıdakilerden hangisinin trafikteki araçlarda bulunması zorunludur?","Kasko poliçesi","Yağ değişim kartı","Araç tescil belgesi","Periyodik bakım kartı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
219,"Aracın elektrik sisteminde bulunan sigortalardan biri yanmış ise yerine takılacak olan yeni sigortanın amper değeri eskisine göre nasıl olmalıdır?","Aynı","Daha büyük","Daha küçük","Önemli değildir.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
220,"""Düşene sırtın dönen korksun, bir gün kendi düştüğünde, kimse ona elini uzatmayacaktır.""(Sadi, Orkide) Yukarıdaki ifadede trafik adabının hangi yönü üzerine söylenmiş olabilir?","Yardımlaşma","İletişim","Sorumluluk","Hoşgörü",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
221,"Aşağıdakilerden hangisi, kısmi tıkanıklık yaşayan kazazedeye yapılacak ilk yardım uygulamalarından biri değildir?","Öksürmesi engellenir.","Gevşemiş takma dişleri varsa çıkarılır.","Morarma saptanırsa derhal girişimde bulunulur.","Durumu kötüye gidiyorsa tam tıkanmada tercih edilen uygulamalara başlanır.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
222,"Kamyon çekici ve otobüs şoförleri araçlarına ait takograf kayıtlarını, kayıt tarihinden itibaren ne kadar süre ile araçlarında saklamak zorundadır?","1 Ay","3 Ay","6 Ay","1 Yıl",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
223,"Acil tedavi bu konuda ehliyetli kişilerce gerekli donanımla yapılan müdahale olmasına karşın ilk yardım bu konuda eğitim almış herkesin olayın olduğu yerde bulabildiği malzemeleri kullanarak yaptığı hayat kurtarıcı müdahaledir. Buna göre aşağıdakilerden hangisi ilk yardım uygulaması olarak ele alınmaz?","Solunum sistemi duran bir kişiye kalp masajı yapmak","Şok durumundaki hastanın ayaklarını kaldırmak","Kırıklarda atel kullanmak","Açık yaraya dikiş atmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
224,"I. Kural ihlallerine II. Tehlikeli davranışlara III. Güvenli sürücülük yeteneklerini olumlu yönde etkilemeye Trafikte yaşanan öfke duygusu, verilenlerden hangilerine yol açabilmektedir?","I ve II","I ve III","II ve III","I, II ve III",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
225,"Aşağıdakilerden hangisi, trafik denetiminde istenmesi hâlinde sürücünün göstermek zorunda olduğu belgelerdendir?","Sürücü belgesi","Araç imalat belgesi","Parça garanti belgesi","Kasko sigorta poliçesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
226,"Şekildeki araç sürücüsü kavşaktan sağa dönerek seyrini sürdürmek istiyor. Bu sürücünün aşağıdakilerden hangisini yapması yanlıştır?","Sağa sinyal vermesi","Yayaların geçişini beklemesi","Kavşağa yaklaşırken hızını düşürmesi","Yayaları ikaz ederek durdurup, seyrini sürdürmesi",TRUE,"/images/sorular/13aralik2014ehliyetsorulari/soru30.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
227,"Çok sayıda yaralının olduğu kazalarda, kazazedelerin durumu değerlendirilir ve öncelikli müdahale edilecekler belirlenir. Buna göre en son müdahale edilmesi gereken kazazede aşağıdakilerden hangisidir?","Açık karın yarası olan","Bilinci yerinde olmayan","Solunum zorluğu çeken","Ayak bileğinde çıkık olan",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
228,"Akünün elektrolit seviyesi hangisindeki gibi olmalıdır?","Plakaların ortasında","Plakaların en altında","Plakaların 1 cm üzerinde","Plakaların 2 cm üzerinde",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
229,"Işıklı trafik işaret cihazında kırmızı ile birlikte sarı ışığın yanması sürücüye neyi bildirir?","Geri dönmesini","Motoru durdurmasını","Harekete hazırlanmasını","Biraz sonra kırmızı ışığın yanacağını",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
230,"I. Yaşamı korumak
II. İyileşmeyi kolaylaştırmak
III. Durumun kötüye gitmesini önlemek

Yukarıda verilenlerden hangileri ilk yardımın amaçlarındandır?","Yalnız I","I ve II","II ve III","I, II ve III",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
231,"Şekildeki trafik işareti görülünce ne yapılır?","Hız sabit tutulur.","Hız azaltılır, sola sinyal verilir.","Hız artırılır, sağa sinyal verilir.","Hız azaltılır, geçme yasağına uyulur.",TRUE,"/images/10sinav17/soru39.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
232,"Motorda hava filtresinin görevi nedir?","Suyu temizlemek","Yağı temizlemek","Yakıtı temizlemek","Havayı temizlemek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
233,"Şekilde soru işareti (?) ile gösterilen ve aracın hızı ile torkunu ayarlayan aktarma organı hangisidir?","Volan","Diferansiyel","Aks","Vites kutusu",TRUE,"/images/10sinav16/soru110.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
234,"Bilinci kapalı, solunumu ve dolaşımı olmayan kazazedenin omuriliğine zarar vermeden araç içinden çıkarılması için aşağıdaki tekniklerden hangisi kullanılmalıdır?","Rentek manevrası","Heimlich manevrası","Ayak bileklerinden sürükleme yöntemi","Koltuk altından tutarak sürükleme yöntemi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
235,"Şekilde soru işareti (?) ile gösterilen ve motorda yanma sonucu oluşan gazların dışarı atılmasını sağlayan parça aşağıdakilerden hangisidir?","Egzoz manifoldu","Emme manifoldu","Külbütör kapağı","Karter",TRUE,"/images/10sinav5/soru83.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
236,"Şekildeki aracın bulunduğu kara yoluna ne ad verilir?","Bölünmüş kara yolu","Bağlantı yolu","Tali yol","Ana yol",TRUE,"/images/10sinav5/soru34.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
237,"Aracını park ettikten sonra durduğu yerin diğer yol kullanıcıları açısından görme-görülme ya da manevra engeli oluşturup oluşturmadığını kontrol eden bir sürücünün bu davranışı trafikteki hangi değere uygundur?","Empati","Tahammül","Beden dili","Konuşma üslubu",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
238,"Aşağıdakilerden hangisi sürücüden kaynaklanan trafik kazası sebebidir?","Alkollü olarak araç kullanması","Yol yapımında hata olması","Aracın bakımsız olması","Havanın yağışlı olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
239,"Motoru çalıştırırken uzun süreli marş yapılması aküye ve marş motoruna zarar verir.

Buna göre, marş durumunda marş motoru dönmüyorsa sorun aşağıdakilerin hangisinden kaynaklanmış olabilir?","Akünün boşalmasından","Akünün tam şarjlı olmasından","Hava filtresinin kirlenmesinden","Akü kutup başlarının sıkı olmasından",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
240,"Aşağıdakilerden hangisi motorda yapılan ayarlardan birisidir?","Rot ayarı","Supap ayarı","Fren ayarı","Far ayarı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
241,"Aşağıdakilerden hangisi kırık, çıkık ve burkulmaların tespiti sırasında dikkat edilmesi gereken hususlardandır?","Yaralı bölgenin düzeltilmeye çalışılması","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-17.html"
